expediente,producto,titular,registrosanitario,fechaexpedicion,fechavencimiento,estadoregistro,expedientecum,consecutivocum,cantidadcum,descripcioncomercial,estadocum,fechaactivo,fechainactivo,muestramedica,unidad,atc,descripcionatc,viaadministracion,concentracion,principioactivo,unidadmedida,cantidad,unidadreferencia,formafarmaceutica,nombrerol,tiporol,modalidad,IUM
202757,TROPHAMINE® AMINOACIDOS AL 10%,B. BRAUN MEDICAL INC,INVIMA 2008 M-010897 R1,01/10/2000,23/10/2018,Vencido,202757,1,500.0,FRASCO DE VIDRIO POR 500 ML. CAJA POR 1 FRASCO,Inactivo,11/10/2006,23/10/2018,No,ml,B05BA01,AMINOACIDOS,PARENTERAL,A,ARGININA USP,g,120000.0,100 ML,SOLUCION INYECTABLE,B. BRAUN MEDICAL S.A.,IMPORTADOR,IMPORTAR Y VENDER,
19906439,VITAFULL MEN MK TABLETAS,TECNOQUIMICAS S.A.,INVIMA M-014822,11/09/2000,23/11/2010,Vencido,19906439,2,60.0,FRASCO BLANCO DE POLIETILENO DE ALTA DENSIDAD POR 60 TABLETAS,Inactivo,11/10/2006,23/11/2010,No,U,A11AA04,MULTIVITAMINAS Y ELEMENTOS TRAZA,ORAL,A,MONONITRATO DE TIAMINA (2.475 MG) EQUIVALENTE A VITAMINA B1,mg,225000.0,TABLETA,TABLETA,GENERAL NUTRITION INTERNATIONAL INC,FABRICANTE,IMPORTAR Y VENDER,
57687,LOVASTATINA TABLETAS 20 MG.,GENFAR S.A.,INVIMA 2016M-003810-R2,19/01/1996,10/01/2021,Vencido,57687,10,420.0,CAJA POR 420 TABLETAS EN CUARENTA Y DOS BLISTER PVC/PVDC/ALU POR 10 TABLETAS CADA UNO.,Inactivo,13/06/2016,10/01/2021,No,U,C10AA02,LOVASTATINA,ORAL,A,LOVASTATINA,mg,2000000.0,TABLETA,TABLETA,FAREVA VILLA RICA S.A.S.,FABRICANTE,FABRICAR Y VENDER,
27242,LACRILUBE®UNGÜENTO OFTALMICO,ALLERGAN INC.,INVIMA M-009017-R1,05/07/1998,05/12/2008,Vencido,27242,1,3.5,TUBO DE ALUMINIO COLAPSIBLE NO OBTURADO CON TAPA EN LDPE DE COLOR NEGRO CONTENIENDO 3.5 GRAMOS,Inactivo,11/10/2006,05/12/2008,No,g,S01XA20,LAGRIMAS ARTIFICIALES Y OTRAS PREPARACIONES INDIFERENTES,CONJUNTIVAL,D,ACEITE MINERIAL. USP,g,4250000.0,100 G DE UNGÜENTO OFTÁLMICO,UNGUENTO OFTALMICO,ALLERGANWACO.TEXAS,FABRICANTE,IMPORTAR Y VENDER,
28823,KETOCONAZOL TABLETAS 200 MG,GENFAR S.A.,INVIMA 2008M-010168-R1,19/02/1998,06/11/2018,Vencido,28823,4,100.0,CAJA X 100 TABLETAS EN BLISTER PVC TRANSPARENTE /SIN DATOALUMINIO.,Inactivo,12/05/2014,06/11/2018,No,U,J02AB02,KETOCONAZOL,ORAL,A,KETOCONAZOL,mg,20000000.0,TABLETA,TABLETA,GENFAR S.A.,FABRICANTE,FABRICAR Y VENDER,
28703,PEPSAMAR GEL,SANOFI-AVENTIS DE COLOMBIA S.A.,INVIMA M-000772-R2,07/11/1997,18/07/2007,Vencido,28703,3,150.0,FRASCO DE POLIETILENO DE ALTA DENSIDAD POR 150 ML..,Inactivo,11/10/2006,18/07/2007,No,ml,A02AB01,HIDROXIDO DE ALUMINIO,ORAL,B,HIDROXIDO DE ALUMINIO,g,615000.0,100 ML DE SUSPENSIÓN,SUSPENSION ORAL,SANOFI - AVENTIS DE COLOMBIA S.A.,FABRICANTE,FABRICAR Y VENDER,
19909799,RANTUDIL ® LP 90 MG CAPSULAS DE LIBERACIÓN PROLONGADA,BIAL PORTELA & CA. S.A.,INVIMA 2017M-014550-R2,08/10/2000,13/02/2022,Vencido,19909799,2,8.0,CAJA POR 8 CÁPSULAS EN BLISTER ALU/ALU POR 4 CÁPSULAS CADA BLISTER,Inactivo,11/10/2006,13/02/2022,No,U,M01AB11,ACEMETACINA,ORAL,A,ACEMETACINA,mg,9000000.0,CÁPSULA DE LIBERACIÓN PROLONGADA,CAPSULA DE LIBERACION PROLONGADA,MEDA MANUFACTURING GMBH,FABRICANTE,IMPORTAR Y VENDER,
226214,ASTRINGOSOL FLUOR SOLUCION CONCENTRADA,GLAXOSMITHKLINE PLC,INVIMA M-010191,20/02/1998,03/01/2008,Vencido,226214,5,340.0,FRASCO POR 340ML,Inactivo,11/10/2006,03/01/2008,No,ml,A01AA51,SODIO FLUORURO COMBINACIONES,BUCAL,B,FLUORURO DE SODIO,g,0.2,100ML,SOLUCION BUCOFARINGUEA,GLAXOSMITHKLINE MEXICO S.A. DE C.V.,FABRICANTE,IMPORTAR Y VENDER,
35135,LISTERINE (ENJUAGUE BUCAL),WARNER LAMBERT COMPANY,INVIMA M-002509-R2,30/01/2000,02/11/2010,Vencido,35135,3,90.0,FRASCO POR 90 ML. PET-POLIRPOPILENO. FRASCO 1 LITRO PET-POLIPROPILENO VIDRIO.,Inactivo,11/10/2006,02/11/2010,No,U,A01AD11,VARIOS,BUCAL,B,TIMOL USP,mg,6390000.0,100 ML DE SOLUCIÓN,SOLUCION BUCOFARINGUEA,MCNEIL LA LLC,FABRICANTE,FABRICAR Y VENDER,
19904353,JARRO DOPHILUS,PRODIMEDICA NATURAL BIOENERGÉTICA SIU TUTUAVAS.A.,INVIMA 2001M-0000139,05/07/2001,18/05/2011,Vencido,19904353,2,60.0,FRASCOS PLASTICOS DE POLIETILENO DE ALTA DENSIDAD POR 60 CÁPSULAS.,Inactivo,11/10/2006,18/05/2011,No,U,A07FA51,LACTICO ACIDO PRODUCTO DE ORGANISMOS,ORAL,A,LACTOBACILLUS RHAMNOSUS RO49 20% (DE LOS 59 MG ITEM1),million organisms,67200000.0,CÁPSULA,CAPSULA DURA,SIU TUTUAVA FORMULAS LTDA.,IMPORTADOR,IMPORTAR Y VENDER,
